"word1"	"word2"	"word3"	"word4"	"word5"	"freq"
"7543"	"back"	"on"	"the"	"road"	"he"	1
"7544"	"back"	"once"	"you"	"reconnect"	"i"	1
"7545"	"back"	"ordered"	"until"	"may"	"may"	1
"7546"	"back"	"plus"	"theres"	"something"	"to"	1
"7547"	"back"	"point"	"this"	"time"	"everything"	1
"7548"	"back"	"rewards"	"donations"	"to"	"charity"	1
"7549"	"back"	"room"	"we"	"will"	"be"	1
"7550"	"back"	"the"	"hundred"	"hey"	"but"	1
"7551"	"back"	"to"	"a"	"somewhat"	"normal"	1
"7552"	"back"	"to"	"and"	"now"	"its"	1
"7553"	"back"	"to"	"bed"	"where"	"i"	1
"7554"	"back"	"to"	"blogging"	"have"	"been"	1
"7555"	"back"	"to"	"chiropractic"	"adjustments"	"which"	1
"7556"	"back"	"to"	"her"	"she"	"thanked"	1
"7557"	"back"	"to"	"kakumiro"	"the"	"curious"	1
"7558"	"back"	"to"	"my"	"passion"	"baby"	1
"7559"	"back"	"to"	"my"	"usual"	"method"	1
"7560"	"back"	"to"	"our"	"blog"	"after"	1
"7561"	"back"	"to"	"people"	"says"	"mayor"	1
"7562"	"back"	"to"	"realty"	"executives"	"in"	1
"7563"	"back"	"to"	"the"	"box"	"in"	1
"7564"	"back"	"to"	"the"	"business"	"of"	1
"7565"	"back"	"to"	"the"	"community"	"what"	1
"7566"	"back"	"to"	"the"	"freezer"	"to"	1
"7567"	"back"	"to"	"the"	"grind"	"have"	1
"7568"	"back"	"to"	"the"	"kindle"	"guess"	1
"7569"	"back"	"to"	"the"	"landing"	"emily"	1
"7570"	"back"	"to"	"the"	"stone"	"age"	1
"7571"	"back"	"to"	"try"	"and"	"expose"	1
"7572"	"back"	"to"	"uo"	"in"	"the"	1
"7573"	"back"	"to"	"work"	"mediaho"	"adventures"	1
"7574"	"back"	"to"	"work"	"the"	"vacation"	1
"7575"	"back"	"uh"	"oh"	"is"	"what"	1
"7576"	"back"	"up"	"again"	"mum"	"would"	1
"7577"	"back"	"up"	"against"	"the"	"window"	1
"7578"	"back"	"up"	"the"	"stairs"	"still"	1
"7579"	"back"	"via"	"dm"	"is"	"the"	1
"7580"	"back"	"w"	"grandkids"	"pizzaits"	"a"	1
"7581"	"back"	"we"	"will"	"lose"	"the"	1
"7582"	"back"	"when"	"i"	"lived"	"in"	1
"7583"	"back"	"when"	"in"	"end"	"station"	1
"7584"	"back"	"with"	"a"	"solo"	"album"	1
"7585"	"back"	"with"	"an"	"even"	"better"	1
"7586"	"back"	"with"	"some"	"random"	"thing"	1
"7587"	"back"	"you"	"unconditionally"	"love"	"them"	1
"7588"	"back"	"youre"	"such"	"an"	"amazing"	1
"7589"	"backed"	"up"	"by"	"their"	"puppy"	1
"7590"	"background"	"about"	"the"	"titanic"	"but"	1
"7591"	"backing"	"gay"	"marriage"	"but"	"go"	1
"7592"	"backoftheenvelope"	"calculation"	"they"	"would"	"have"	1
"7593"	"backpacked"	"around"	"that"	"was"	"much"	1
"7594"	"backpage"	"has"	"expressed"	"nothing"	"but"	1
"7595"	"backstory"	"after"	"a"	"night"	"of"	1
"7596"	"backup"	"feature"	"this"	"issue"	"is"	1
"7597"	"backwoods"	"wit"	"to"	"song"	"titles"	1
"7598"	"backyard"	"you"	"wont"	"get"	"far"	1
"7599"	"bacon"	"and"	"eggs"	"or"	"muffins"	1
"7600"	"bacon"	"for"	"the"	"salt"	"pork"	1
"7601"	"bad"	"apples"	"in"	"the"	"church"	1
"7602"	"bad"	"boy"	"u"	"like"	"rock"	1
"7603"	"bad"	"clothing"	"is"	"a"	"good"	1
"7604"	"bad"	"for"	"all"	"those"	"people"	1
"7605"	"bad"	"girls"	"club"	"get"	"paid"	1
"7606"	"bad"	"habits"	"love"	"smokin"	"that"	1
"7607"	"bad"	"jess"	"fadonsha"	"were"	"there"	1
"7608"	"bad"	"look"	"forward"	"to"	"seeing"	1
"7609"	"bad"	"movie"	"called"	"alabama"	"no"	1
"7610"	"bad"	"multiple"	"car"	"accident"	"on"	1
"7611"	"bad"	"news"	"in"	"this"	"case"	1
"7612"	"bad"	"of"	"being"	"allowed"	"the"	1
"7613"	"bad"	"per"	"se"	"just"	"predictable"	1
"7614"	"bad"	"quality"	"of"	"our"	"video"	1
"7615"	"bad"	"same"	"owners"	"i"	"think"	1
"7616"	"bad"	"sign"	"when"	"antonio"	"cromartie"	1
"7617"	"bad"	"slide"	"as"	"an"	"example"	1
"7618"	"bad"	"spirals"	"out"	"of"	"colt"	1
"7619"	"bad"	"teachers"	"ahead"	"of"	"good"	1
"7620"	"bad"	"that"	"its"	"getting"	"more"	1
"7621"	"bad"	"the"	"good"	"thing"	"is"	1
"7622"	"bad"	"then"	"immediately"	"really"	"good"	1
"7623"	"bad"	"trailer"	"bad"	"trailerwell"	"actually"	1
"7624"	"bad"	"trailerwell"	"actually"	"it"	"gave"	1
"7625"	"bad"	"way"	"to"	"start"	"the"	1
"7626"	"bad"	"weather"	"at"	"i"	"dont"	1
"7627"	"bad"	"weather"	"just"	"bad"	"clothing"	1
"7628"	"bad"	"week"	"for"	"the"	"gilbert"	1
"7629"	"bad"	"weeks"	"but"	"well"	"that"	1
"7630"	"badder"	"then"	"a"	"yr"	"old"	1
"7631"	"badger"	"games"	"trips"	"to"	"milwaukee"	1
"7632"	"badly"	"i"	"wanted"	"to"	"shoot"	1
"7633"	"badly"	"is"	"a"	"way"	"to"	1
"7634"	"badly"	"when"	"i"	"watched"	"their"	1
"7635"	"badness"	"a"	"good"	"man"	"isnt"	1
"7636"	"bag"	"and"	"vintage"	"marc"	"jacobs"	1
"7637"	"bag"	"of"	"crap"	"in"	"the"	1
"7638"	"bag"	"or"	"rub"	"them"	"on"	1
"7639"	"bag"	"with"	"maas"	"alum"	"timothy"	1
"7640"	"baghdad"	"into"	"the"	"iraqi"	"jewish"	1
"7641"	"bags"	"can"	"we"	"all"	"say"	1
"7642"	"bags"	"yeesh"	"i"	"guess"	"its"	1
"7643"	"bahutier"	"made"	"bahuts"	"which"	"were"	1
"7644"	"bahuts"	"which"	"were"	"wooden"	"chests"	1
"7645"	"bailey"	"ford"	"she"	"is"	"years"	1
"7646"	"bait"	"with"	"your"	"heart"	"not"	1
"7647"	"baja"	"burrito"	"yellow"	"porch"	"restaurant"	1
"7648"	"bake"	"a"	"batch"	"on"	"saturday"	1
"7649"	"bake"	"or"	"so"	"minutes"	"until"	1
"7650"	"bake"	"until"	"it"	"is"	"fairly"	1
"7651"	"bakery"	"book"	"which"	"i"	"cant"	1
"7652"	"baking"	"and"	"cooling"	"all"	"four"	1
"7653"	"balance"	"a"	"little"	"off"	"that"	1
"7654"	"balance"	"necessary"	"to"	"achieve"	"wellness"	1
"7655"	"balance"	"of"	"livability"	"that"	"marks"	1
"7656"	"balance"	"on"	"the"	"straightaway"	"he"	1
"7657"	"balanced"	"life"	"with"	"time"	"for"	1
"7658"	"balancing"	"rock"	"sculptures"	"and"	"eating"	1
"7659"	"bald"	"dude"	"who"	"is"	"hitting"	1
"7660"	"baldon"	"you"	"couldnt"	"make"	"those"	1
"7661"	"balkan"	"academy"	"is"	"needed"	"to"	1
"7662"	"ball"	"absolutely"	"terrified"	"and"	"ally"	1
"7663"	"ball"	"cited"	"for"	"tresspassing"	"during"	1
"7664"	"ball"	"cundiff"	"is"	"a"	"nonfactor"	1
"7665"	"ball"	"for"	"the"	"free"	"throws"	1
"7666"	"ball"	"in"	"the"	"net"	"when"	1
"7667"	"ball"	"n"	"the"	"ocean"	"if"	1
"7668"	"ball"	"of"	"fluff"	"and"	"ears"	1
"7669"	"ball"	"of"	"some"	"sort"	"while"	1
"7670"	"ball"	"with"	"his"	"son"	"or"	1
"7671"	"ballard"	"that"	"it"	"was"	"a"	1
"7672"	"baller"	"i"	"loved"	"it"	"i"	1
"7673"	"ballet"	"finals"	"i"	"have"	"been"	1
"7674"	"ballet"	"thursday"	"night"	"i"	"was"	1
"7675"	"ballet"	"tonight"	"ballroom"	"on"	"wednesday"	1
"7676"	"ballet"	"with"	"some"	"other"	"friends"	1
"7677"	"ballets"	"alice"	"in"	"wonderland"	"costumes"	1
"7678"	"balloon"	"rubons"	"to"	"the"	"bottom"	1
"7679"	"balloon"	"that"	"floated"	"off"	"on"	1
"7680"	"balloon"	"whisk"	"constantly"	"until"	"the"	1
"7681"	"balloons"	"floated"	"away"	"together"	"with"	1
"7682"	"balloons"	"were"	"released"	"in"	"her"	1
"7683"	"ballot"	"with"	"no"	"id"	"bear"	1
"7684"	"ballroom"	"on"	"wednesday"	"and"	"contact"	1
"7685"	"balls"	"out"	"of"	"the"	"zone"	1
"7686"	"balls"	"this"	"rangers"	"vs"	"capitals"	1
"7687"	"balm"	"with"	"me"	"at"	"all"	1
"7688"	"ban"	"debate"	"nite"	"at"	"swc"	1
"7689"	"ban"	"kimoon"	"at"	"cpd"	"youth"	1
"7690"	"band"	"again"	"we"	"would"	"think"	1
"7691"	"band"	"and"	"my"	"mother"	"was"	1
"7692"	"band"	"for"	"something"	"other"	"than"	1
"7693"	"band"	"guru"	"do"	"you"	"have"	1
"7694"	"band"	"is"	"kicking"	"into"	"full"	1
"7695"	"band"	"kept"	"playing"	"and"	"all"	1
"7696"	"band"	"never"	"did"	"instead"	"they"	1
"7697"	"band"	"to"	"a"	"more"	"symphonic"	1
"7698"	"bandit"	"amp"	"from"	"glens"	"pawn"	1
"7699"	"bands"	"iconic"	"guitarist"	"roddy"	"radiation"	1
"7700"	"bands"	"one"	"and"	"only"	"album"	1
"7701"	"bang"	"that"	"threw"	"up"	"a"	1
"7702"	"bang"	"then"	"a"	"bang"	"that"	1
"7703"	"bang"	"then"	"a"	"louder"	"bang"	1
"7704"	"bank"	"and"	"the"	"treatment"	"of"	1
"7705"	"bank"	"is"	"reported"	"to"	"have"	1
"7706"	"bank"	"next"	"they"	"have"	"a"	1
"7707"	"bank"	"of"	"england"	"and"	"got"	1
"7708"	"bankrupt"	"in"	"mexico"	"announced"	"a"	1
"7709"	"banks"	"increase"	"lending"	"to"	"small"	1
"7710"	"banks"	"should"	"be"	"able"	"to"	1
"7711"	"banned"	"from"	"launching"	"other"	"products"	1
"7712"	"banner"	"in"	"the"	"top"	"pic"	1
"7713"	"bantering"	"and"	"elliptical"	"style"	"of"	1
"7714"	"baptist"	"pointed"	"his"	"disciples"	"to"	1
"7715"	"baptist"	"well"	"if"	"you"	"were"	1
"7716"	"baptists"	"holy"	"madness"	"into"	"something"	1
"7717"	"baptized"	"like"	"a"	"monk"	"walking"	1
"7718"	"bar"	"a"	"dozen"	"pizzas"	"and"	1
"7719"	"bar"	"as"	"a"	"snack"	"only"	1
"7720"	"bar"	"at"	"the"	"ramada"	"across"	1
"7721"	"bar"	"called"	"the"	"cursing"	"cat"	1
"7722"	"bar"	"foie"	"as"	"a"	"toper"	1
"7723"	"bar"	"for"	"music"	"is"	"like"	1
"7724"	"bar"	"mitzvahs"	"and"	"funerals"	"alike"	1
"7725"	"bar"	"the"	"hangar"	"if"	"your"	1
"7726"	"barangay"	"head"	"in"	"a"	"town"	1
"7727"	"barbecue"	"sauce"	"i"	"refrigerated"	"mine"	1
"7728"	"barber"	"closed"	"up"	"shop"	"and"	1
"7729"	"barbie"	"dolls"	"by"	"allie"	"is"	1
"7730"	"barca"	"this"	"leg"	"but"	"they"	1
"7731"	"bard"	"of"	"steel"	"that"	"they"	1
"7732"	"barely"	"have"	"time"	"for"	"this"	1
"7733"	"bark"	"at"	"him"	"until"	"he"	1
"7734"	"barks"	"im"	"sure"	"this"	"is"	1
"7735"	"barley"	"in"	"tomato"	"and"	"basil"	1
"7736"	"barn"	"to"	"continue"	"to"	"set"	1
"7737"	"barnes"	"is"	"weak"	"ive"	"been"	1
"7738"	"barolo"	"clone"	"or"	"some"	"such"	1
"7739"	"barolo"	"is"	"a"	"clone"	"of"	1
"7740"	"baron"	"cohen"	"has"	"a"	"beautiful"	1
"7741"	"baroque"	"but"	"there"	"are"	"also"	1
"7742"	"barracks"	"designed"	"by"	"martha"	"stewart"	1
"7743"	"barre"	"lots"	"of"	"fun"	"stuff"	1
"7744"	"barrel"	"or"	"both"	"barrels"	"with"	1
"7745"	"barrelaged"	"fashion"	"if"	"rodenbach"	"went"	1
"7746"	"barrels"	"with"	"a"	"pretty"	"good"	1
"7747"	"barren"	"and"	"mysterious"	"place"	"it"	1
"7748"	"barrett"	"as"	"zuul"	"from"	"the"	1
"7749"	"barrett"	"for"	"consideration"	"that"	"was"	1
"7750"	"barrier"	"at"	"which"	"point"	"the"	1
"7751"	"barrowman"	"isnt"	"a"	"great"	"actor"	1
"7752"	"barrowman"	"wasnt"	"available"	"or"	"no"	1
"7753"	"barry"	"is"	"just"	"as"	"much"	1
"7754"	"barry"	"m"	"mushroom"	"behind"	"him"	1
"7755"	"barry"	"m"	"mushroom"	"hm"	"love"	1
"7756"	"barry"	"manilow"	"in"	"dc"	"july"	1
"7757"	"barry"	"was"	"one"	"of"	"the"	1
"7758"	"bartender"	"a"	"maid"	"and"	"a"	1
"7759"	"bartenders"	"we"	"listen"	"but"	"dont"	1
"7760"	"base"	"card"	"i"	"then"	"coloured"	1
"7761"	"base"	"coat"	"i"	"want"	"to"	1
"7762"	"base"	"coats"	"i"	"have"	"tried"	1
"7763"	"base"	"for"	"spicy"	"soups"	"or"	1
"7764"	"base"	"i"	"used"	"wonderful"	"polish"	1
"7765"	"base"	"ive"	"made"	"a"	"few"	1
"7766"	"base"	"too"	"and"	"it"	"turned"	1
"7767"	"base"	"tx"	"us"	"air"	"force"	1
"7768"	"baseball"	"clinic"	"north"	"hills"	"baseball"	1
"7769"	"baseball"	"draft"	"on"	"the"	"books"	1
"7770"	"baseball"	"has"	"a"	"mass"	"approximately"	1
"7771"	"baseball"	"season"	"starts"	"ill"	"be"	1
"7772"	"baseball"	"summer"	"camp"	"at"	"scharmyn"	1
"7773"	"baseball"	"the"	"play"	"basketball"	"they"	1
"7774"	"based"	"despite"	"best"	"efforts"	"by"	1
"7775"	"based"	"on"	"a"	"comic"	"as"	1
"7776"	"based"	"on"	"a"	"manner"	"of"	1
"7777"	"based"	"on"	"guaranteed"	"money"	"rather"	1
"7778"	"based"	"on"	"remembrances"	"of"	"cosbys"	1
"7779"	"based"	"on"	"the"	"definition"	"of"	1
"7780"	"based"	"on"	"the"	"initial"	"facetoface"	1
"7781"	"based"	"on"	"the"	"job"	"of"	1
"7782"	"basel"	"pronounced"	"art"	"bahzl"	"or"	1
"7783"	"basement"	"on"	"a"	"cold"	"winters"	1
"7784"	"basement"	"rock"	"club"	"a"	"start"	1
"7785"	"basement"	"when"	"they"	"make"	"enough"	1
"7786"	"basic"	"desire"	"i"	"had"	"when"	1
"7787"	"basically"	"cancelled"	"my"	"whole"	"day"	1
"7788"	"basically"	"everyone"	"i"	"follow"	"who"	1
"7789"	"basically"	"not"	"giving"	"a"	"if"	1
"7790"	"basically"	"one"	"room"	"divided"	"into"	1
"7791"	"basically"	"what"	"you"	"see"	"every"	1
"7792"	"basically"	"you"	"just"	"sign"	"up"	1
"7793"	"basil"	"sauce"	"all"	"the"	"ingredients"	1
"7794"	"basil"	"tomatillo"	"beans"	"cucumbers"	"and"	1
"7795"	"basildon"	"council"	"to"	"forcibly"	"evict"	1
"7796"	"basket"	"just"	"use"	"your"	"imagination"	1
"7797"	"basket"	"land"	"in"	"your"	"home"	1
"7798"	"basket"	"when"	"iu"	"beat"	"michigan"	1
"7799"	"basketball"	"fun"	"the"	"big"	"day"	1
"7800"	"basketball"	"in"	"college"	"and"	"uo"	1
"7801"	"basketball"	"team"	"to"	"play"	"at"	1
"7802"	"basketball"	"then"	"spitting"	"with"	"tomas"	1
"7803"	"basketball"	"they"	"play"	"golf"	"and"	1
"7804"	"basketball"	"was"	"slowing"	"stuff"	"down"	1
"7805"	"bassams"	"talk"	"is"	"next"	"week"	1
"7806"	"bat"	"chucked"	"with"	"a"	"forceful"	1
"7807"	"batch"	"of"	"green"	"tea"	"and"	1
"7808"	"batch"	"of"	"homemade"	"hummus"	"in"	1
"7809"	"batch"	"on"	"saturday"	"because"	"my"	1
"7810"	"bath"	"have"	"you"	"got"	"a"	1
"7811"	"bath"	"house"	"todaybest"	"massage"	"in"	1
"7812"	"bath"	"two"	"of"	"my"	"favorite"	1
"7813"	"bathed"	"and"	"into"	"bed"	"by"	1
"7814"	"bathroom"	"but"	"this"	"past"	"few"	1
"7815"	"bathroom"	"doors"	"are"	"too"	"heavy"	1
"7816"	"bathroom"	"fitters"	"in"	"to"	"give"	1
"7817"	"bathroom"	"together"	"i"	"open"	"the"	1
"7818"	"batman"	"spiderman"	"green"	"lantern"	"xmen"	1
"7819"	"batten"	"it"	"down"	"for"	"an"	1
"7820"	"battered"	"and"	"detained"	"by"	"police"	1
"7821"	"battering"	"my"	"windows"	"last"	"night"	1
"7822"	"battery"	"tunnel"	"this"	"sunken"	"highway"	1
"7823"	"batting"	"and"	"place"	"it"	"over"	1
"7824"	"batting"	"or"	"fiber"	"fill"	"for"	1
"7825"	"battle"	"of"	"atlanta"	"as"	"tommy"	1
"7826"	"battle"	"with"	"an"	"adequate"	"army"	1
"7827"	"bay"	"a"	"shot"	"then"	"well"	1
"7828"	"bay"	"is"	"lookin"	"good"	"today"	1
"7829"	"bayerns"	"already"	"blown"	"two"	"wide"	1
"7830"	"baylor"	"washington"	"games"	"is"	"one"	1
"7831"	"bayoumy"	"a"	"member"	"of"	"the"	1
"7832"	"bball"	"for"	"over"	"yrs"	"u"	1
"7833"	"bbq"	"chicken"	"watched"	"movies"	"i"	1
"7834"	"bc"	"il"	"hit"	"isaih"	"n"	1
"7835"	"bc"	"im"	"bad"	"at"	"both"	1
"7836"	"bc"	"im"	"not"	"too"	"obsessive"	1
"7837"	"bchockey"	"will"	"throw"	"a"	"ceremonial"	1
"7838"	"bcon"	"thanks"	"zoe"	"hope"	"to"	1
"7839"	"bcs"	"champs"	"sounds"	"better"	"you"	1
"7840"	"bcu"	"for"	"becoming"	"the"	"new"	1
"7841"	"be"	"a"	"better"	"listener"	"its"	1
"7842"	"be"	"a"	"big"	"deal"	"for"	1
"7843"	"be"	"a"	"bit"	"intense"	"for"	1
"7844"	"be"	"a"	"bit"	"of"	"a"	1
"7845"	"be"	"a"	"certain"	"height"	"have"	1
"7846"	"be"	"a"	"champion"	"of"	"and"	1
"7847"	"be"	"a"	"counsellor"	"in"	"high"	1
"7848"	"be"	"a"	"factor"	"this"	"could"	1
"7849"	"be"	"a"	"favorite"	"picture"	"of"	1
"7850"	"be"	"a"	"future"	"in"	"it"	1
"7851"	"be"	"a"	"good"	"serious"	"sho"	1
"7852"	"be"	"a"	"good"	"way"	"to"	1
"7853"	"be"	"a"	"great"	"aunt"	"again"	1
"7854"	"be"	"a"	"great"	"day"	"at"	1
"7855"	"be"	"a"	"great"	"movie"	"producer"	1
"7856"	"be"	"a"	"lie"	"in"	"believe"	1
"7857"	"be"	"a"	"lingering"	"theme"	"today"	1
"7858"	"be"	"a"	"little"	"late"	"tomorrow"	1
"7859"	"be"	"a"	"little"	"shy"	"maybe"	1
"7860"	"be"	"a"	"lot"	"of"	"slow"	1
"7861"	"be"	"a"	"mom"	"but"	"have"	1
"7862"	"be"	"a"	"nobrainer"	"but"	"do"	1
"7863"	"be"	"a"	"part"	"of"	"our"	1
"7864"	"be"	"a"	"part"	"of"	"your"	1
"7865"	"be"	"a"	"pathological"	"optimist"	"stay"	1
"7866"	"be"	"a"	"peacemaker"	"adrian"	"mossbeasley"	1
"7867"	"be"	"a"	"point"	"rt"	"remind"	1
"7868"	"be"	"a"	"polymorphism"	"of"	"brightly"	1
"7869"	"be"	"a"	"regular"	"contributor"	"to"	1
"7870"	"be"	"a"	"simple"	"matter"	"of"	1
"7871"	"be"	"a"	"single"	"so"	"frickinnnnn"	1
"7872"	"be"	"a"	"smiley"	"my"	"bad"	1
"7873"	"be"	"a"	"tough"	"make"	"but"	1
"7874"	"be"	"a"	"while"	"for"	"the"	1
"7875"	"be"	"a"	"word"	"why"	"isnt"	1
"7876"	"be"	"able"	"to"	"add"	"many"	1
"7877"	"be"	"able"	"to"	"come"	"and"	1
"7878"	"be"	"able"	"to"	"get"	"every"	1
"7879"	"be"	"able"	"to"	"get"	"out"	1
"7880"	"be"	"able"	"to"	"hang"	"around"	1
"7881"	"be"	"able"	"to"	"marry"	"outside"	1
"7882"	"be"	"able"	"to"	"predict"	"the"	1
"7883"	"be"	"able"	"to"	"provide"	"the"	1
"7884"	"be"	"able"	"to"	"reach"	"the"	1
"7885"	"be"	"able"	"to"	"roll"	"over"	1
"7886"	"be"	"able"	"to"	"run"	"offices"	1
"7887"	"be"	"able"	"to"	"stand"	"in"	1
"7888"	"be"	"able"	"to"	"supply"	"water"	1
"7889"	"be"	"able"	"to"	"trademark"	"hon"	1
"7890"	"be"	"able"	"to"	"trust"	"you"	1
"7891"	"be"	"able"	"to"	"use"	"the"	1
"7892"	"be"	"after"	"all"	"it"	"would"	1
"7893"	"be"	"all"	"games"	"in"	"stadiums"	1
"7894"	"be"	"allowed"	"to"	"make"	"you"	1
"7895"	"be"	"alone"	"pregnant"	"because"	"of"	1
"7896"	"be"	"an"	"adorable"	"little"	"ball"	1
"7897"	"be"	"an"	"apt"	"metaphor"	"for"	1
"7898"	"be"	"an"	"unschooler"	"even"	"if"	1
"7899"	"be"	"and"	"become"	"by"	"creating"	1
"7900"	"be"	"and"	"leaving"	"the"	"theater"	1
"7901"	"be"	"and"	"stick"	"with"	"it"	1
"7902"	"be"	"angry"	"at"	"him"	"for"	1
"7903"	"be"	"announced"	"on"	"the"	"verve"	1
"7904"	"be"	"announcing"	"releasing"	"anything"	"for"	1
"7905"	"be"	"another"	"update"	"posted"	"in"	1
"7906"	"be"	"answered"	"many"	"or"	"a"	1
"7907"	"be"	"any"	"character"	"in"	"fiction"	1
"7908"	"be"	"applied"	"to"	"a"	"product"	1
"7909"	"be"	"applied"	"to"	"detroit"	"in"	1
"7910"	"be"	"appreciative"	"for"	"all"	"of"	1
"7911"	"be"	"arising"	"since"	"team"	"gb"	1
"7912"	"be"	"as"	"i"	"said"	"before"	1
"7913"	"be"	"as"	"in"	"floods"	"tornados"	1
"7914"	"be"	"at"	"a"	"church"	"that"	1
"7915"	"be"	"at"	"bww"	"powell"	"on"	1
"7916"	"be"	"at"	"dk"	"nails"	"for"	1
"7917"	"be"	"at"	"office"	"or"	"telecommuting"	1
"7918"	"be"	"at"	"the"	"beach"	"right"	1
"7919"	"be"	"attacked"	"that"	"centuries"	"old"	1
"7920"	"be"	"attending"	"the"	"spirit"	"awards"	1
"7921"	"be"	"available"	"for"	"viewing"	"on"	1
"7922"	"be"	"awarded"	"throughout"	"new"	"jersey"	1
"7923"	"be"	"awesome"	"if"	"postalicious"	"didnt"	1
"7924"	"be"	"back"	"getting"	"ready"	"to"	1
"7925"	"be"	"back"	"in"	"a"	"couple"	1
"7926"	"be"	"back"	"into"	"my"	"normal"	1
"7927"	"be"	"back"	"to"	"my"	"passion"	1
"7928"	"be"	"back"	"with"	"an"	"even"	1
"7929"	"be"	"behind"	"the"	"bar"	"the"	1
"7930"	"be"	"better"	"invested"	"in"	"other"	1
"7931"	"be"	"between"	"minutes"	"let"	"cool"	1
"7932"	"be"	"blamed"	"for"	"acting"	"to"	1
"7933"	"be"	"bold"	"and"	"added"	"a"	1
"7934"	"be"	"brought"	"so"	"could"	"drug"	1
"7935"	"be"	"by"	"the"	"pool"	"all"	1
"7936"	"be"	"cached"	"remotely"	"like"	"caches"	1
"7937"	"be"	"careful"	"not"	"to"	"fill"	1
"7938"	"be"	"cheating"	"what"	"about"	"roy"	1
"7939"	"be"	"chosen"	"randomly"	"from"	"the"	1
"7940"	"be"	"class"	"president"	"it"	"becomes"	1
"7941"	"be"	"collecting"	"signatures"	"in"	"your"	1
"7942"	"be"	"college"	"mission"	"and"	"adulthood"	1
"7943"	"be"	"confined"	"to"	"a"	"place"	1
"7944"	"be"	"conformable"	"in"	"them"	"and"	1
"7945"	"be"	"considered"	"and"	"included"	"in"	1
"7946"	"be"	"considered"	"as"	"wilfully"	"destroying"	1
"7947"	"be"	"considered"	"wholesome"	"according"	"to"	1
"7948"	"be"	"consulted"	"over"	"their"	"views"	1
"7949"	"be"	"continued"	"the"	"following"	"week"	1
"7950"	"be"	"cooperating"	"on"	"welding"	"equipment"	1
"7951"	"be"	"counterproductive"	"the"	"reelection"	"of"	1
"7952"	"be"	"crowned"	"champions"	"in"	"san"	1
"7953"	"be"	"cute"	"made"	"into"	"a"	1
"7954"	"be"	"david"	"deida"	"in"	"his"	1
"7955"	"be"	"declared"	"dependence"	"day"	"to"	1
"7956"	"be"	"diagnosed"	"at"	"a"	"younger"	1
"7957"	"be"	"different"	"but"	"not"	"like"	1
"7958"	"be"	"different"	"than"	"what"	"ive"	1
"7959"	"be"	"different"	"the"	"conversation"	"was"	1
"7960"	"be"	"doing"	"something"	"great"	"but"	1
"7961"	"be"	"done"	"read"	"my"	"next"	1
"7962"	"be"	"easily"	"separated"	"from"	"truth"	1
"7963"	"be"	"encountered"	"such"	"as"	"traveling"	1
"7964"	"be"	"engaged"	"from"	"the"	"start"	1
"7965"	"be"	"english"	"just"	"ugly"	"incoherent"	1
"7966"	"be"	"enjoying"	"a"	"strawberry"	"and"	1
"7967"	"be"	"entered"	"in"	"our"	"drawing"	1
"7968"	"be"	"especially"	"meaningful"	"to"	"anyone"	1
"7969"	"be"	"even"	"kill"	"never"	"get"	1
"7970"	"be"	"exact"	"are"	"you"	"ready"	1
"7971"	"be"	"excellent"	"expect"	"the"	"best"	1
"7972"	"be"	"faithful"	"to"	"them"	"and"	1
"7973"	"be"	"favorable"	"to"	"french"	"interests"	1
"7974"	"be"	"featured"	"while"	"iipi"	"is"	1
"7975"	"be"	"feeling"	"this"	"way"	"about"	1
"7976"	"be"	"filled"	"the"	"house"	"is"	1
"7977"	"be"	"firm"	"not"	"squishy"	"to"	1
"7978"	"be"	"footloose"	"and"	"fancy"	"free"	1
"7979"	"be"	"forgiven"	"for"	"something"	"at"	1
"7980"	"be"	"freaking"	"out"	"each"	"time"	1
"7981"	"be"	"french"	"seem"	"to"	"be"	1
"7982"	"be"	"friendly"	"with"	"your"	"kids"	1
"7983"	"be"	"fun"	"we"	"hope"	"youre"	1
"7984"	"be"	"gasp"	"radical"	"evidenced"	"by"	1
"7985"	"be"	"gay"	"the"	"least"	"you"	1
"7986"	"be"	"given"	"any"	"airtime"	"whatsoever"	1
"7987"	"be"	"glad"	"im"	"not"	"aloud"	1
"7988"	"be"	"godlike"	"to"	"be"	"able"	1
"7989"	"be"	"going"	"down"	"for"	"the"	1
"7990"	"be"	"going"	"for"	"the"	"bag"	1
"7991"	"be"	"gone"	"completely"	"i"	"will"	1
"7992"	"be"	"gotta"	"admit"	"alot"	"of"	1
"7993"	"be"	"great"	"to"	"see"	"you"	1
"7994"	"be"	"great"	"to"	"try"	"themgot"	1
"7995"	"be"	"great"	"well"	"be"	"sharing"	1
"7996"	"be"	"greater"	"if"	"the"	"pregenerated"	1
"7997"	"be"	"greatly"	"noticed"	"as"	"it"	1
"7998"	"be"	"happy"	"in"	"our"	"lives"	1
"7999"	"be"	"happy"	"that"	"we"	"have"	1
"8000"	"be"	"happy"	"to"	"give"	"you"	1
"8001"	"be"	"he"	"would"	"paint"	"if"	1
"8002"	"be"	"healthier"	"by"	"ordering"	"skinny"	1
"8003"	"be"	"heard"	"it"	"came"	"across"	1
"8004"	"be"	"held"	"in"	"a"	"room"	1
"8005"	"be"	"held"	"morally"	"responsible"	"for"	1
"8006"	"be"	"helpful"	"and"	"intervene"	"between"	1
"8007"	"be"	"helpful"	"to"	"you"	"but"	1
